"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","negative_sign","positive_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","repeat_expression","subconfig_id/id"
"aeat_mod115_sub01_export_line_01","aeat_mod115_sub01_export_config",1,"Constante: <T","string",2,0,"left",,"N",0,,"X",,"<T",,,
"aeat_mod115_sub01_export_line_02","aeat_mod115_sub01_export_config",2,"Constante: 115","string",3,0,"left",,"N",0,,"X",,"115",,,
"aeat_mod115_sub01_export_line_03","aeat_mod115_sub01_export_config",3,"Constante: 01","string",2,0,"left",,"N",0,,"X",,"01",,,
"aeat_mod115_sub01_export_line_04","aeat_mod115_sub01_export_config",4,"Constante: 000>","string",4,0,"left",,"N",0,,"X",,"000>",,,
"aeat_mod115_sub01_export_line_05","aeat_mod115_sub01_export_config",5,"Indicador de página complementaria","boolean",1,0,"left",,"N",0," ","C","${object.statement_type == 'C'}",,,,
"aeat_mod115_sub01_export_line_06","aeat_mod115_sub01_export_config",6,"Tipo de declaración","string",1,0,"left",,"N",0,,"X","${object.tipo_declaracion}",,,,
"aeat_mod115_sub01_export_line_07","aeat_mod115_sub01_export_config",7,"Identificación: NIF","string",9,0,"left",,"N",0,,"X","${object.company_vat}",,,,
"aeat_mod115_sub01_export_line_08","aeat_mod115_sub01_export_config",8,"Identificación: Razón o denominación social","string",60,0,"left",,"N",0,,"X","${object.company_id.name}",,,,
"aeat_mod115_sub01_export_line_09","aeat_mod115_sub01_export_config",9,"Reservado para la Adminsitración","string",20,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_sub01_export_line_10","aeat_mod115_sub01_export_config",10,"Identificación: Ejercicio","string",4,0,"left",,"N",0,,"X","${object.year}",,,,
"aeat_mod115_sub01_export_line_11","aeat_mod115_sub01_export_config",11,"Identificación: Periodo","string",2,0,"left",,"N",0,,"X","${object.period_type}",,,,
"aeat_mod115_sub01_export_line_12","aeat_mod115_sub01_export_config",12,"Número de perceptores [01]","integer",15,0,"right",,"N",0,,"X","${object.casilla_01}",,,,
"aeat_mod115_sub01_export_line_13","aeat_mod115_sub01_export_config",13,"Base retenciones e ingresos a cuenta [02]","float",17,2,"right","True","N",0,,"X","${object.tax_line_ids.filtered(lambda r: r.field_number==2).amount}",,,,
"aeat_mod115_sub01_export_line_14","aeat_mod115_sub01_export_config",14,"Retenciones e ingresos a cuenta [03]","float",17,2,"right","True","N",0,,"X","${object.tax_line_ids.filtered(lambda r: r.field_number==3).amount}",,,,
"aeat_mod115_sub01_export_line_15","aeat_mod115_sub01_export_config",15,"Resultado anteriores declaraciones [04]","float",17,2,"right","True","N",0,,"X","${object.casilla_04}",,,,
"aeat_mod115_sub01_export_line_16","aeat_mod115_sub01_export_config",16,"Resultado a ingresar [05]","float",17,2,"right","True","N",0,,"X","${object.casilla_05}",,,,
"aeat_mod115_sub01_export_line_17","aeat_mod115_sub01_export_config",17,"Complementaria - Declaración complementaria","boolean",1,0,"left",,"N",0," ","X","${object.statement_type == 'C'}",,,,
"aeat_mod115_sub01_export_line_18","aeat_mod115_sub01_export_config",18,"Complementaria - Número justificante de la declaración anterior","string",13,0,"left",,"N",0,,"X","${object.previous_number if object.statement_type == 'C' else ''}",,,,
"aeat_mod115_sub01_export_line_19","aeat_mod115_sub01_export_config",19,"Domiciliación - IBAN","string",34,0,"left",,"N",0,,"X","${object.partner_bank_id.sanitized_acc_number or """"}",,,,
"aeat_mod115_sub01_export_line_20","aeat_mod115_sub01_export_config",20,"Reservado para la Administración (236)","string",236,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_sub01_export_line_21","aeat_mod115_sub01_export_config",21,"Reservado para el sello electrónico de la AEAT (13)","string",13,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_sub01_export_line_22","aeat_mod115_sub01_export_config",22,"Indicador de fin de registro: </T11501000>","string",12,0,"left",,"N",0,,"X",,"</T11501000>",,,
"aeat_mod115_main_export_line_01","aeat_mod115_main_export_config",1,"Constante: <T","string",2,0,"left",,"N",0,,"X",,"<T",,,
"aeat_mod115_main_export_line_02","aeat_mod115_main_export_config",2,"Constante: 115","string",3,0,"left",,"N",0,,"X",,"115",,,
"aeat_mod115_main_export_line_03","aeat_mod115_main_export_config",3,"Constante: 0","string",1,0,"left",,"N",0,,"X",,0,,,
"aeat_mod115_main_export_line_04","aeat_mod115_main_export_config",4,"Ejercicio devengo","string",4,0,"left",,"N",0,,"X","${object.year}",,,,
"aeat_mod115_main_export_line_05","aeat_mod115_main_export_config",5,"Identificación Periodo","string",2,0,"left",,"N",0,,"X","${object.period_type}",,,,
"aeat_mod115_main_export_line_06","aeat_mod115_main_export_config",6,"Constante: 0000>","string",5,0,"left",,"N",0,,"X",,"0000>",,,
"aeat_mod115_main_export_line_07","aeat_mod115_main_export_config",7,"Constante: <AUX>","string",5,0,"left",,"N",0,,"X",,"<AUX>",,,
"aeat_mod115_main_export_line_08","aeat_mod115_main_export_config",8,"Reservado para la Administración: Rellenar con blancos","string",70,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_main_export_line_09","aeat_mod115_main_export_config",9,"Versión del programa","string",4,0,"left",,"N",0,,"X",,"odoo",,,
"aeat_mod115_main_export_line_10","aeat_mod115_main_export_config",10,"Reservado para la Administración. Rellenar con blancos","string",4,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_main_export_line_11","aeat_mod115_main_export_config",11,"NIF Empresa Desarrollo","string",9,0,"left",,"N",0,,"X",,"G87846952",,,
"aeat_mod115_main_export_line_12","aeat_mod115_main_export_config",12,"Reservado para la Administración. Rellenar con blancos","string",213,0,"left",,"N",0,,"X",,,,,
"aeat_mod115_main_export_line_13","aeat_mod115_main_export_config",13,"Constante: </AUX>","string",6,0,"left",,"N",0,,"X",,"</AUX>",,,
"aeat_mod115_main_export_line_14","aeat_mod115_main_export_config",14,"Contenido del fichero [sub01]","subconfig",0,0,,,"N",0,,"X",,,"True",,"aeat_mod115_sub01_export_config"
"aeat_mod115_main_export_line_15","aeat_mod115_main_export_config",15,"Constante: </T1150+Ejercicio+periodo+0000>","string",18,0,"left",,"N",0,,"X","</T1150${object.year}${object.period_type}0000>",,,,
"aeat_mod115_main_export_line_16","aeat_mod115_main_export_config",16,"Fin de Registro. Constante CRLF (Hexadecimal 0D0A, Decimal 1310)","string",2,0,"left",,"N",0,,"X","${""\r\n"".encode(""ascii"")}",,,,
