"id","name","name@es","name@ca","type_tax_use","amount","amount_type","description","description@es","description@ca","active","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"account_tax_template_p_reav0","VAT REAV non-deductible","IVA Soportado no deducible REAV","IVA Suportat no deduïble REAV","purchase","0.00","percent","P_REAV","P_REAV","P_REAV","True","","tax_group_reav","base","invoice","","","100"
"","","","","","","","","","","","","","tax","invoice","","","100"
"","","","","","","","","","","","","","base","refund","","","100"
"","","","","","","","","","","","","","tax","refund","","","100"
"account_tax_template_s_reav0","VAT REAV included","IVA Repercutido incluido REAV","IVA Repercutit inclòs REAV","sale","0.00","percent","S_REAV","S_REAV","S_REAV","True","","tax_group_reav","base","invoice","","","100"
"","","","","","","","","","","","","","tax","invoice","","","100"
"","","","","","","","","","","","","","base","refund","","","100"
"","","","","","","","","","","","","","tax","refund","","","100"
