id,name
study_level_none,No studies
study_level_primary,Primary education
study_level_elementary,Elementary education
study_level_secondary_1,"Secondary education, stage 1"
study_level_secondary_2,"Secondary education, stage 2"
study_level_graduate,Graduate
study_level_prof_cert_1,"Professionalism certificate, level 1"
study_level_prof_cert_2,"Professionalism certificate, level 2"
study_level_prof_cert_3,"Professionalism certificate, level 3"
study_level_high_school,High school
study_level_prof_training_1,"Professional training, medium grade"
study_level_prof_training_2,"Professional training, high grade"
study_level_university_1,"University education, stage 1"
study_level_university_2,"University education, stage 2"
study_level_university_3,"University education, stage 3"
study_level_others,Others
