"id","name","name@es","name@ca","code","account_type","reconcile"
"account_assoc_canary_100","Dotación fundacional","Dotación fundacional","Dotación fundacional","100","liability_non_current","False"
"account_assoc_canary_1030","Fundadores, parte no desembolsada en fundaciones","Fundadores, parte no desembolsada en fundaciones","Fundadores, parte no desembolsada en fundaciones","1030","liability_non_current","False"
"account_assoc_canary_1034","Asociados, parte no desembolsada en asociaciones","Asociados, parte no desembolsada en asociaciones","Asociados, parte no desembolsada en asociaciones","1034","liability_non_current","False"
"account_assoc_canary_1040","Fundadores, por aportaciones no dinerarias pendientes, en fundaciones","Fundadores, por aportaciones no dinerarias pendientes, en fundaciones","Fundadores, por aportaciones no dinerarias pendientes, en fundaciones","1040","liability_non_current","False"
"account_assoc_canary_1044","Asociados, por aportaciones no dinerarias pendientes, en asociaciones","Asociados, por aportaciones no dinerarias pendientes, en asociaciones","Asociados, por aportaciones no dinerarias pendientes, en asociaciones","1044","liability_non_current","False"

"account_assoc_112","Legal reserve","Reserva legal","Reserva legal","112","equity","False"
"account_assoc_113","Voluntary reserves","Reservas voluntarias","Reserves voluntàries","113","equity","False"

"account_assoc_canary_120","Remanente","Remanente","Remanente","120","liability_non_current","False"
"account_assoc_canary_121","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","121","liability_non_current","False"
"account_assoc_canary_129","Resultado del ejercicio","Resultado del ejercicio","Resultado del ejercicio","129","equity_unaffected","False"
"account_assoc_canary_130","Subvenciones del Estado","Subvenciones del Estado","Subvenciones del Estado","130","liability_non_current","False"
"account_assoc_canary_1301","Subvenciones de otras Administraciones Públicas","Subvenciones de otras Administraciones Públicas","Subvenciones de otras Administraciones Públicas","1301","equity","False"
"account_assoc_canary_132","Otras subvenciones","Otras subvenciones","Otras subvenciones","132","liability_non_current","False"
"account_assoc_canary_1321","Otras donaciones y legados","Otras donaciones y legados","Otras donaciones y legados","1321","equity","False"

"account_assoc_150","Non-current liability-classified shares or equity holdings","Acciones o participaciones consideradas como pasivos financieros","Accions o participacions a llarg termini considerades passius financers","150","liability_non_current","False"
"account_assoc_171","Non-current payables","Deudas","Deutes a llarg termini","171","liability_non_current","False"

"account_assoc_canary_207","Derechos sobre activos cedidos en uso","Derechos sobre activos cedidos en uso","Derechos sobre activos cedidos en uso","207","asset_fixed","False"
"account_assoc_canary_240","Monumentos","Monumentos","Monumentos","240","asset_fixed","False"
"account_assoc_canary_2401","Jardines históricos","Jardines históricos","Jardines históricos","2401","asset_fixed","False"
"account_assoc_canary_2402","Conjuntos históricos","Conjuntos históricos","Conjuntos históricos","2402","asset_fixed","False"
