"id","sequence","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids"

"account_tax_template_s_igic0b","0","IGIC 0% (Bienes)","IGIC 0%","sale","0% G Can","IGIC 0% (Bienes)","IGIC 0% (béns)","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic0_bc","0","IGIC 0% (Bienes)","IGIC 0%","purchase","0% G INC Can","0% IGIC soportado (bienes corrientes)","0% IGIC (béns corrents)","0.0","percent","tax_group_igic_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic3b","0","IGIC 3% (Bienes)","IGIC 3%","sale","3% G Can","IGIC 3% (Bienes)","IGIC 3% (béns)","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic3_bc","0","IGIC 3% (Bienes)","IGIC 3%","purchase","3% G INC Can","3% IGIC soportado (bienes corrientes)","3% IGIC (béns corrents)","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic7b","0","IGIC 7% (Bienes)","IGIC 7%","sale","7% G Can","IGIC 7% (Bienes)","IGIC 7% (béns)","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic7_bc","0","IGIC 7% (Bienes)","IGIC 7%","purchase","7% G INC Can","7% IGIC soportado (bienes corrientes)","7% IGIC (béns corrents)","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic95b","0","IGIC 9,5% (Bienes)","IGIC 9,5%","sale","9,5% G Can","IGIC 9,5% (Bienes)","IGIC 9,5% (béns)","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic95_bc","0","IGIC 9,5% (Bienes)","IGIC 9,5%","purchase","9,5% G INC Can","9,5% IGIC soportado (bienes corrientes)","9,5% IGIC (béns corrents)","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic15b","0","IGIC 15% (Bienes)","IGIC 15%","sale","15% G Can","IGIC 15% (Bienes)","IGIC 15% (béns)","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
