"id","sequence","name","name@es","name@ca","auto_apply","vat_required","state_ids","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_igic_r_7",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_igic_r_9_5",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_igic_r_15",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_igic_r_20",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_0_inv","account_tax_template_igic_sop_0_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_0_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_igic_sop_0",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_igic_sop_1",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_p_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_3_inv","account_tax_template_igic_sop_3_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_3_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_igic_sop_3",,
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_5_inv","account_tax_template_igic_sop_5_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_5_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_igic_sop_5",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_7_inv","account_tax_template_igic_sop_7_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_7_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_igic_sop_7",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5_inv","account_tax_template_igic_sop_9_5_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_igic_sop_9_5",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_15_inv","account_tax_template_igic_sop_15_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_15_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_igic_sop_15",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_20_inv","account_tax_template_igic_sop_20_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_20_inv","account_tax_template_s_irpf9",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_igic_sop_20",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_s_irpf9",,

"fp_irpf15_canary",,"Retención IRPF 15% Islas Canarias","Retención IRPF 15% Islas Canarias","Retención IRPF 15% Islas Canarias",,,,"base.es",,,,,
,,,,,,,,,,"account_tax_template_igic_r_0","account_tax_template_igic_r_0",,
,,,,,,,,,,"account_tax_template_igic_r_0","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_1","account_tax_template_igic_r_1",,
,,,,,,,,,,"account_tax_template_igic_r_1","account_tax_template_s_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_igic_r_3",,
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_igic_r_5",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_igic_r_7",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_igic_r_9_5",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_igic_r_15",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_igic_r_20",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_0_inv","account_tax_template_igic_sop_0_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_0_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_igic_sop_0",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_igic_sop_1",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_3_inv","account_tax_template_igic_sop_3_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_3_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_igic_sop_3",,
