"id","sequence","active","description","invoice_label","type_tax_use","name","amount","amount_type","tax_group_id","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_template_canon_purchase_0","0","True","Canon digital","Canon 0€","purchase","Canon 0€","0","fixed","tax_group_digital_canon_0_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_0","0","True","Canon digital","Canon 0€","sale","Canon 0€","0","fixed","tax_group_digital_canon_0_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_0_08","0","True","Canon digital","Canon 0.08€","purchase","Canon 0.08€","0.08","fixed","tax_group_digital_canon_0_08_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_0_08","0","True","Canon digital","Canon 0.08€","sale","Canon 0.08€","0.08","fixed","tax_group_digital_canon_0_08_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_0_21","0","True","Canon digital","Canon 0.21€","purchase","Canon 0.21€","0.21","fixed","tax_group_digital_canon_0_21_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_0_21","0","True","Canon digital","Canon 0.21€","sale","Canon 0.21€","0.21","fixed","tax_group_digital_canon_0_21_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_0_24","0","True","Canon digital","Canon 0.24€","purchase","Canon 0.24€","0.24","fixed","tax_group_digital_canon_0_24_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
