id,sequence,export_config_id/id,name,expression,fixed_value,export_type,size,alignment,apply_sign,decimal_size,bool_yes,bool_no,conditional_expression,subconfig_id/id
aeat_mod111_sub01_export_line_01,1,aeat_mod111_sub01_export_config,Constante: <T,,<T,string,2,left,,,,,,
aeat_mod111_sub01_export_line_02,2,aeat_mod111_sub01_export_config,Constante: 111,,111,string,3,left,,,,,,
aeat_mod111_sub01_export_line_03,3,aeat_mod111_sub01_export_config,Constante: 01,,01,string,2,left,,,,,,
aeat_mod111_sub01_export_line_04,4,aeat_mod111_sub01_export_config,Constante: 000>,,000>,string,4,left,,,,,,
aeat_mod111_sub01_export_line_05,5,aeat_mod111_sub01_export_config,Indicador de página complementaria: En blanco,,,string,1,left,,,,,,
aeat_mod111_sub01_export_line_06,6,aeat_mod111_sub01_export_config,Tipo de declaración,${object.tipo_declaracion},,string,1,left,,,,,,
aeat_mod111_sub01_export_line_07,7,aeat_mod111_sub01_export_config,Identificación: NIF,${object.company_vat},,string,9,left,,,,,,
aeat_mod111_sub01_export_line_08,8,aeat_mod111_sub01_export_config,Identificación: Denominación o Apellidos,${object.company_id.name},,string,60,left,,,,,,
aeat_mod111_sub01_export_line_09,9,aeat_mod111_sub01_export_config,Identificación: Nombre,,,string,20,left,,,,,,
aeat_mod111_sub01_export_line_10,10,aeat_mod111_sub01_export_config,Identificación: Ejercicio,${object.year},,string,4,left,,,,,,
aeat_mod111_sub01_export_line_11,11,aeat_mod111_sub01_export_config,Identificación: Periodo,${object.period_type},,string,2,left,,,,,,
aeat_mod111_sub01_export_line_12,12,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos dinerarios - Número de perceptores [01],${object.casilla_01},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_13,13,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos dinerarios - Importe de las percepciones [02],${object.tax_line_ids.filtered(lambda r: r.field_number==2).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_14,14,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos dinerarios - Importe de las retenciones [03],${object.tax_line_ids.filtered(lambda r: r.field_number==3).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_15,15,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos en especie - Número de perceptores [04],${object.casilla_04},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_16,16,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos en especie - Importe de las percepciones [05],${object.tax_line_ids.filtered(lambda r: r.field_number==5).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_17,17,aeat_mod111_sub01_export_config,Rendimientos del trabajo - Rendimientos en especie - Importe de las retenciones [06],${object.tax_line_ids.filtered(lambda r: r.field_number==6).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_18,18,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos dinerarios - Número de perceptores [07],${object.casilla_07},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_19,19,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos dinerarios - Importe de las percepciones [08],${object.tax_line_ids.filtered(lambda r: r.field_number==8).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_20,20,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos dinerarios - Importe de las retenciones [09],${object.tax_line_ids.filtered(lambda r: r.field_number==9).amount},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_21,21,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos en especie - Número de perceptores [10],${object.casilla_10},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_22,22,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos en especie - Importe de las percepciones [11],${object.casilla_11},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_23,23,aeat_mod111_sub01_export_config,Rendimientos de actividades económicas - Rendimientos en especie - Importe de las retenciones [12],${object.casilla_12},,float,17,right,1,2,,,,
