"id","name","reference"
"ecoembes_packaging_101","Botella, Frasco","101"
"ecoembes_packaging_102","Aerosol","102"
"ecoembes_packaging_103","Bote(lata, tarro, vaso, tarrina)","103"
"ecoembes_packaging_104","Caja, cajón, cajetilla","104"
"ecoembes_packaging_106","Estuche, funda","106"
"ecoembes_packaging_107","Rodillo, mandril, bobina, carrete","107"
"ecoembes_packaging_108","Bolsa, saco, pouch","108"
"ecoembes_packaging_109","Bolsa entregada en comercios (bolsa camiseta, bolsa de sección)","109"
"ecoembes_packaging_110","Bidón, barril, bombona, garrafa","110"
"ecoembes_packaging_111","Blister","111"
"ecoembes_packaging_112","Brick (Envase tipo)","112"
"ecoembes_packaging_113","Otros envases (tubos, ampolla/vial, bag-in-box, cubos, cornetes, cartuchos)","113"
"ecoembes_packaging_114","Artículos desechables en hostelería/restauración (bandejas, platos, vasos...)","114"
"ecoembes_packaging_115","Bandeja, base, barqueta","115"
"ecoembes_packaging_116","Lámina, film, envoltura, flow pack, etiqueta","116"
"ecoembes_packaging_117","Sobre, skin pack","117"
"ecoembes_packaging_118","Tapones, tapas","118"
"ecoembes_packaging_119","Elementos para la seguridad y uso del producto (asa, aplicador, dosificador, precinto, cápsula..)","119"
"ecoembes_packaging_120","Elementos de fijación y protección (hi-cone, fleje, abrazadera, material de relleno, plástico de burbujas, cordel, ángulo, unión, soporte, casillero)","120"
"ecoembes_packaging_121","Bolsa reutilizable - Norma UNE","121"
"ecoembes_packaging_300","Envase de transporte o terciario","300"
"ecoembes_packaging_301","Paletas","301"
"ecoembes_packaging_302","Envoltorio incorporado al producto en el punto de venta","302"
