id,name,date_end,model_number,model_id:id,date_start,date_end,active
aeat_mod369_2022_main_export_config,Mod.369 2022,,369,model_l10n_es_aeat_mod369_report,2022-01-01,,True
aeat_mod369_2022_sub00_export_config,Exportación modelo 369 2022 - 00 Común,,369,0,,,0
aeat_mod369_2022_sub04_export_config,Exportación modelo 369 2022 - 04 Unión,,369,0,,,0
aeat_mod369_2022_sub05_export_config,Exportación modelo 369 2022 - 05 Unión,,369,0,,,0
aeat_mod369_2022_sub06_export_config,Exportación modelo 369 2022 - 06 Unión,,369,0,,,0
aeat_mod369_2022_sub07_export_config,Exportación modelo 369 2022 - 07 Unión,,369,0,,,0
aeat_mod369_2022_sub08_export_config,Exportación modelo 369 2022 - 08 Unión,,369,0,,,0
aeat_mod369_2022_sub09_export_config,Exportación modelo 369 2022 - 09 Unión,,369,0,,,0
