id,name
igic_r_0,account_tax_template_igic_r_0
igic_r_3,account_tax_template_igic_r_3
igic_r_5,account_tax_template_igic_r_5
igic_r_7,account_tax_template_igic_r_7
igic_r_9_5,account_tax_template_igic_r_9_5
igic_r_15,account_tax_template_igic_r_15
igic_r_20,account_tax_template_igic_r_20
igic_cmino,account_tax_template_igic_cmino
igic_s_ISP0,account_tax_template_igic_s_ISP0
igic_ex_0,account_tax_template_igic_ex_0
igic_re_ex,account_tax_template_igic_re_ex
s_igic_ns,account_tax_template_s_igic_ns
igic_p_re0,account_tax_template_igic_p_re0
igic_p_re03,account_tax_template_igic_p_re03
igic_p_re07,account_tax_template_igic_p_re07
igic_p_re095,account_tax_template_igic_p_re095
igic_p_re15,account_tax_template_igic_p_re15
igic_p_re20,account_tax_template_igic_p_re20
