id,name,date_end,model_number,model:id,date_start,date_end
aeat_mod303_202107_main_export_config,Mod.303 2021/07-2021/12,,303,l10n_es_aeat_mod303.model_l10n_es_aeat_mod303_report,2021-07-01,2021-12-31
aeat_mod303_202107_sub03_export_config,Exportación modelo 303 2021/07 - Información adicional + Resultado,,303,,,
aeat_mod303_202107_sub04_export_config,Exportación modelo 303 2021/07 - Información adicional - Último periodo exonerados 390,,303,,,
aeat_mod303_202107_sub01_export_config,Exportación modelo 303 2021/07 - Régimen general/simplificado,,303,,,
