"id","name","date_end","model_number","model_id:id","date_start","date_end","active"
"aeat_mod303_2023_main_export_config","Mod.303 2023-actualidad",,"303","model_l10n_es_aeat_mod303_report","2023-01-01",,True
"aeat_mod303_2023_sub01_export_config","Exportación modelo 303 2023 - Régimen general/simplificado",,"303",0,,,0
"aeat_mod303_2023_sub03_export_config","Exportación modelo 303 2023 - Información adicional + Resultado",,"303",0,,,0
"aeat_mod303_2023_subdid_export_config","Exportación modelo 303 2023 - Devolución",,"303",0,,,0
