id,excluded_account_xmlid_id:id,book_type,fee_amount_xlsx_column,fee_type_xlsx_column,name,special_tax_group,tax_agency_ids/id,tax_xmlid_ids/id
aeat_vat_book_map_line_s_iva,,"issued","X","W","IVA repercutido","","l10n_es_aeat.aeat_tax_agency_spain","s_iva0b,s_iva0s,s_iva2b,s_iva2s,s_iva4b,s_iva4s,s_iva5b,s_iva5s,s_iva7-5b,s_iva7-5s,s_iva10b,s_iva10s,s_iva21b,s_iva21s,s_iva0_isp,s_iva0_sp_i,s_iva0_g_i,s_iva0_g_e,s_iva0,s_iva0_art22,s_iva0_art23,s_iva0_nsd,s_iva_ns,s_iva_ns_b,s_iva_e"
aeat_vat_book_map_line_p_iva,"common_477","received","AC","AB","IVA soportado","","l10n_es_aeat.aeat_tax_agency_spain","p_iva0_s_bc,p_iva0_s_sc,p_iva2_bc,p_iva2_sc,p_iva4_bc,p_iva4_sc,p_iva4_bi,p_iva5_bc,p_iva5_sc,p_iva7-5_bc,p_iva7-5_sc,p_iva10_bc,p_iva10_sc,p_iva10_bi,p_iva21_bc,p_iva21_sc,p_iva21_bi,p_iva0_bc,p_iva0_ic_sc,p_iva2_ic_sc,p_iva4_sp_in,p_iva5_ic_sc,p_iva7-5_ic_sc,p_iva10_sp_in,p_iva21_sp_in,p_iva0_ic_bc,p_iva2_ic_bc,p_iva4_ic_bc,p_iva5_ic_bc,p_iva7-5_ic_bc,p_iva10_ic_bc,p_iva21_ic_bc,p_iva4_ic_bi,p_iva10_ic_bi,p_iva21_ic_bi,p_iva0_ibc,p_iva2_ibc,p_iva4_ibc,p_iva5_ibc,p_iva7-5_ibc,p_iva10_ibc,p_iva21_ibc,p_iva12_agr,p_iva21_isp,p_iva10_isp,p_iva4_isp,p_iva21_isp_bi,p_iva10_isp_bi,p_iva4_isp_bi,p_iva21_sp_ex,p_iva10_sp_ex,p_iva7-5_isc,p_iva5_isc,p_iva4_sp_ex,p_iva2_isc,p_iva0_isc,p_iva4_bi,p_iva10_bi,p_iva21_bi,p_iva0_ns,p_iva0_ns_b,p_iva21_ibc_group,p_iva4_ibc_group,p_iva10_ibc_group"
aeat_vat_book_map_line_p_iva_nd,"common_472","received",,,"IVA soportado no deducible","","l10n_es_aeat.aeat_tax_agency_spain","p_iva2_nd,p_iva4_nd,p_iva5_nd,p_iva7-5_nd,p_iva10_nd,p_iva0_nd"
aeat_vat_book_map_line_s_req,,"issued","Z","Y","Recargo Eq.","req","l10n_es_aeat.aeat_tax_agency_spain","s_req0,s_req05,s_req062,s_req014,s_req52"
aeat_vat_book_map_line_p_req,,"received","AF","AE","Recargo Eq.","req","l10n_es_aeat.aeat_tax_agency_spain","p_req0,p_req05,p_req062,p_req014,p_req52"
aeat_vat_book_map_line_s_irpf,,"issued","AF","AE","Retención del IRPF","irpf","l10n_es_aeat.aeat_tax_agency_spain","s_irpf1,s_irpf2,s_irpf7,s_irpf9,s_irpf15,s_irpf18,s_irpf19,s_irpf19a,s_irpf195a,s_irpf20,s_irpf20a,s_irpf21,s_irpf21a"
aeat_vat_book_map_line_p_irpf,,"received","AL","AK","Retención del IRPF","irpf","l10n_es_aeat.aeat_tax_agency_spain","p_irpf1,p_irpf2,p_irpf7,p_irpf9,p_irpf15,p_irpf18,p_irpf19,p_irpf19a,p_irpf195a,p_irpf20,p_irpf20a,p_irpf21a,p_irpf21p"
atc_vat_book_igic_map_line_s_igic,,"issued","AN","AM","IGIC Repercutido","","l10n_es_aeat.aeat_tax_agency_canarias","igic_r_0,igic_r_3,igic_r_7,igic_r_9_5,igic_r_15,igic_r_20,igic_s_ISP0,igic_ex_0,igic_re_ex,igic_cmino"
atc_vat_book_igic_map_line_p_igic,"","received","AP","AO","IGIC Soportado","","l10n_es_aeat.aeat_tax_agency_canarias","igic_p_ex,igic_sop_0,igic_sop_3,igic_sop_7,igic_sop_9_5,igic_sop_15,igic_sop_20,igic_sop_0_s,igic_sop_3_s,igic_sop_5_s,igic_sop_7_s,igic_sop_9_5_s,igic_sop_15_s,igic_sop_20_s,igic_sop_0_inv,igic_sop_3_inv,igic_sop_7_inv,igic_sop_9_5_inv,igic_sop_15_inv,igic_sop_20_inv,igic_sop_i_0,igic_sop_i_3,igic_sop_i_7,igic_sop_i_9_5,igic_sop_i_15,igic_sop_i_20,igic_sop_i_0_inv,igic_sop_i_3_inv,igic_sop_i_7_inv,igic_sop_i_9_5_inv,igic_sop_i_15_inv,igic_sop_i_20_inv,igic_ISP0,igic_ISP3,igic_ISP7,igic_ISP95,igic_ISP15,igic_ISP20"
atc_vat_book_igic_map_line_p_req,,"received","AR","AQ","Recargo Eq.","req","l10n_es_aeat.aeat_tax_agency_canarias","igic_p_re0,igic_p_re03,igic_p_re07,igic_p_re095,igic_p_re15,igic_p_re20"
